#! FIELDS time rct DeltaF_300 DeltaF_316.875 DeltaF_334.7 DeltaF_353.527 DeltaF_373.414 DeltaF_394.419 DeltaF_416.605 DeltaF_440.04 DeltaF_464.792 DeltaF_490.937 DeltaF_518.553 DeltaF_547.723 DeltaF_578.533 DeltaF_611.076 DeltaF_645.45 DeltaF_681.757 DeltaF_720.106 DeltaF_760.613 DeltaF_803.399 DeltaF_848.591 DeltaF_896.325 DeltaF_946.744 DeltaF_1000
#! SET print_stride  100
                    420                      0     -1981159.683799433     -1770140.632617554     -1570359.556564023     -1381217.976596118     -1202149.290098462     -1032617.076370267     -872113.4955641751     -720157.7811142798     -576294.8350532124     -440093.9623010738     -311147.8393024079      -189071.802596723     -73503.04826158249      35901.21388855046      139468.0573389264      237511.1668583948      330328.4954763816       418201.002923755       501393.164887258      580154.6289811005      654721.4949177521      725317.2041649608      792153.2677928098
                    424     -11.73436906996992     -1981665.475736147     -1770129.355804877     -1570348.267589341     -1381206.687618473      -1202138.00112201     -1032605.787415341     -872102.2069336186     -720146.4965639387     -576283.5925760058     -440083.0526962325     -311138.5867683399     -189066.5366249349     -73502.06628301747      35901.38641112071      139470.0713116986      237516.9804085132      330337.9003804275       418210.939792985      501397.5934993393      580142.1063487824      654684.8864935003      725252.4913694676      792058.1991599237
                    428     -15.16103471094642     -1982178.103406887     -1770129.349340695     -1570348.261125159      -1381206.68115429     -1202137.994657828     -1032605.780951159     -872102.2004694366     -720146.4900997566     -576283.5861118238     -440083.0462320504     -311138.5803041579     -189066.5301610074     -73502.06000355205      35901.36341399256      139469.2330745117      237510.8054843497      330321.7343631153      418184.1182922992      501361.0235243322      580100.4024399056      654639.2878343137      725203.1870358748      792004.0535265052
                    432     -9.986869866976752     -1982576.569232614     -1770127.029391177     -1570341.072505714     -1381199.492534846     -1202130.806038383     -1032598.592331715     -872095.0118500134      -720139.301481992     -576276.3975962255     -440075.8621452945      -311131.495221902     -189060.1667001839     -73498.14639058408      35898.87717091508      139460.0942736349      237498.3108560643      330308.3089911913      418168.7411300301      501345.0048948022      580085.3887563001       654624.361389526       725187.960486945      791989.6678149186
                    436     -8.241702003727385      -1982610.49532112     -1770226.910590459     -1570337.896329979     -1381196.316359111     -1202127.629862649     -1032595.416155985     -872091.8356745316     -720136.1253169897     -576273.2217932777     -440072.6959843811     -311128.4774381719     -189057.9335739325     -73497.33208450998      35898.63486684007      139459.7584157328      237498.6100491757      330309.1906778724      418169.9199445042      501346.2973916097      580087.0261582981      654626.8376026469      725190.8902986876       791992.630584157
                    440     -8.471230177927231     -1982609.614146873     -1770338.661541335     -1570337.015276952     -1381195.435184864     -1202126.748688402     -1032594.534981738     -872090.9545002851     -720135.2441427435     -576272.3406191876     -440071.8148521555     -311127.6011535328     -189057.1762524448     -73497.04029219842       35898.5373118717      139459.5512505758      237498.2827384094      330308.6955969785      418169.4477793884      501345.4539557495      580085.6522852026      654625.4472884547       725189.467545889      791990.8527054365
                    444      -9.25814642077583     -1982609.493179561     -1770440.682862667     -1570344.751796063     -1381195.314217552      -1202126.62772109     -1032594.414014432     -872090.8335332114     -720135.1231838021      -576272.219879578     -440071.6982456326     -311127.5213542989     -189057.1697972369     -73497.05402794422      35898.54708676547       139459.590686385      237498.2991257538      330308.7052571551      418169.5131388882      501345.5630471366      580085.7724136719      654625.5682389595       725189.588513079      791990.9736727482
                    448     -10.02596846692897     -1982609.493179561     -1770515.334038919     -1570384.111960478     -1381195.314217552      -1202126.62772109     -1032594.414014432     -872090.8335332114     -720135.1231838021      -576272.219879578     -440071.6982456326     -311127.5213542989     -189057.1697972369     -73497.05402794422      35898.54708676547       139459.590686385      237498.2991257538      330308.7052571551      418169.5131388882      501345.5630471366      580085.7724136719      654625.5682389595       725189.588513079      791990.9736727482
                    452     -10.69122384507084     -1982609.493179561     -1770559.925595975     -1570454.125280467     -1381195.314217729      -1202126.62772109     -1032594.414014432     -872090.8335332114     -720135.1231838021      -576272.219879578     -440071.6982456326     -311127.5213542989     -189057.1697972369     -73497.05402794422      35898.54708676547       139459.590686385      237498.2991257538      330308.7052571551      418169.5131388882      501345.5630471366      580085.7724136719      654625.5682389595       725189.588513079      791990.9736727482
                    456        -11.27811334183     -1982609.493179561      -1770599.73471185     -1570528.094541616     -1381195.862270907      -1202126.62772109     -1032594.414014432     -872090.8335332114     -720135.1231838021      -576272.219879578     -440071.6982456326     -311127.5213542989     -189057.1697972369     -73497.05402794422      35898.54708676547       139459.590686385      237498.2991257538      330308.7052571551      418169.5131388882      501345.5630471366      580085.7724136719      654625.5682389595       725189.588513079      791990.9736727482
